EventID	nPhotons	Hits	DepositedEnergy
0	307131	28	5.33156e-05
1	687190	426	0.000842624
2	929270	18	2.87769e-05
3	1804376	62	0.000128748
4	1840751	4	5.46507e-06
5	2287811	38	7.6172e-05
6	2709118	58	0.00011681
7	2932311	24	4.46924e-05
8	3077133	12	2.42514e-05
9	3125487	0	0
10	3597491	930	0.00160792
11	3813456	18	2.93049e-05
12	4207778	30	5.65923e-05
13	4449868	12	1.65079e-05
14	5003220	42	8.45454e-05
15	5448924	34	6.62977e-05
16	5905639	36	6.99815e-05
17	6352961	50	9.92055e-05
18	6379013	0	0
19	6502252	6	1.05521e-05
20	6790456	40	7.4313e-05
21	6907903	6	8.99662e-06
22	7133753	28	5.36652e-05
23	7527590	36	5.75664e-05
24	7744795	32	6.7997e-05
25	7862805	10	1.44714e-05
26	8267919	46	8.21748e-05
27	8793327	42	7.93081e-05
28	8914658	6	1.17338e-05
29	9128534	16	2.54173e-05
30	9312583	36	5.66708e-05
31	9698100	36	6.79906e-05
32	10150047	40	5.93541e-05
33	10619182	64	0.000139802
34	10632775	0	0
35	10870505	28	5.47105e-05
36	11421618	60	0.000114284
37	11817077	50	9.17888e-05
38	12072684	40	6.61872e-05
39	12432553	34	6.65469e-05
40	12812285	74	0.000116734
41	13050833	20	3.52694e-05
42	13099235	6	1.07441e-05
43	13296557	12	1.66758e-05
44	13541512	30	5.77923e-05
45	13737895	16	2.47573e-05
46	13921089	32	6.49573e-05
47	14065905	22	3.70966e-05
48	14557453	52	9.00325e-05
49	14790387	28	4.79027e-05
50	15122604	40	6.6244e-05
51	15581510	58	0.000109172
52	15989702	52	8.98127e-05
53	16247322	32	6.19571e-05
54	16404156	16	3.37706e-05
55	16669078	28	5.69806e-05
56	16921327	20	3.78463e-05
57	16996037	4	8.25574e-06
58	17022774	2	1.44157e-06
59	17393362	54	0.000106038
60	17598986	20	4.21624e-05
61	18038593	44	7.42423e-05
62	18424370	48	7.71479e-05
63	18703556	26	4.7538e-05
64	18967220	26	4.73353e-05
65	18989240	1002	0.00252929
66	19411654	60	0.000110794
67	19892712	72	0.000151718
68	20155470	22	3.69983e-05
69	20587337	42	8.15859e-05
70	20800821	8	1.90236e-05
71	21117275	48	9.44717e-05
72	21602776	76	0.00013749
73	21990338	82	0.000149066
74	22014950	4	1.09226e-05
75	22237242	16	2.56808e-05
76	22642164	42	7.24105e-05
77	23038389	26	5.60291e-05
78	23466510	44	7.98752e-05
79	23705022	30	5.58336e-05
80	23831752	10	1.45985e-05
81	24227854	40	7.28986e-05
82	24423465	20	4.04217e-05
83	24650156	26	5.0457e-05
84	24657528	0	0
85	24788141	14	2.08989e-05
86	25227373	32	5.17149e-05
87	25623440	48	9.05967e-05
88	26026414	34	6.51516e-05
89	26139293	8	1.50363e-05
90	26548159	52	9.47821e-05
91	26610854	6	1.24009e-05
92	26724471	14	1.9686e-05
93	27026371	32	5.92099e-05
94	27306187	24	5.1024e-05
95	27536025	20	3.80144e-05
96	27781881	26	4.58654e-05
97	28034969	16	2.65283e-05
98	28333225	30	5.03979e-05
99	28386457	2	1.58205e-06
