EventID	nPhotons	Hits	DepositedEnergy
5128	1421262444	36	6.63997e-05
5129	1421666638	46	8.25662e-05
5130	1421958977	68	0.000114059
5131	1422427017	32	6.81441e-05
5132	1422636238	24	4.51793e-05
5133	1422913605	46	7.10237e-05
5134	1423357691	36	5.53261e-05
5135	1423774607	38	7.14327e-05
5136	1423990388	10	1.89571e-05
5137	1424204975	8	9.56e-06
5138	1424276200	4	7.62266e-06
5139	1424630339	38	6.27956e-05
5140	1425290969	78	0.000156356
5141	1425700443	30	5.55636e-05
5142	1425751760	10	2.07585e-05
5143	1425824258	6	1.10591e-05
5144	1426208892	94	0.000165687
5145	1426594309	44	0.000103377
5146	1426788273	18	3.40698e-05
5147	1426953235	12	2.98236e-05
5148	1427635371	58	0.000107601
5149	1428061918	56	0.000108635
5150	1428531611	40	7.80306e-05
5151	1428948245	40	7.89232e-05
5152	1429244908	26	5.48138e-05
5153	1429659849	52	0.000108568
5154	1429710113	0	0
5155	1429881383	12	2.08328e-05
5156	1430169876	18	3.26512e-05
5157	1430667846	38	6.53183e-05
5158	1431123617	42	7.94594e-05
5159	1431428864	14	2.62412e-05
5160	1431514975	2	2.11822e-06
5161	1431765038	20	3.96566e-05
5162	1431902441	8	1.96325e-05
5163	1432322705	26	4.85287e-05
5164	1432451131	12	1.78963e-05
5165	1432735296	24	4.53773e-05
5166	1432955523	12	2.76209e-05
5167	1433564038	56	8.11897e-05
5168	1433934765	46	9.60898e-05
5169	1434306733	44	8.7809e-05
5170	1434487584	12	2.5404e-05
5171	1434902928	72	0.000131317
5172	1434990100	8	1.523e-05
5173	1435174672	8	1.40867e-05
5174	1435491318	40	6.33517e-05
5175	1435503385	0	0
5176	1435707795	28	6.42609e-05
5177	1436103260	58	0.000112027
5178	1436520060	64	0.000133691
5179	1437361705	86	0.000154907
5180	1437612239	30	5.79044e-05
5181	1437625188	0	0
5182	1437809835	8	1.50575e-05
5183	1438238440	42	8.0969e-05
5184	1438668408	42	6.68167e-05
5185	1439053731	32	6.88332e-05
5186	1439374792	38	9.16025e-05
5187	1439500352	10	1.96195e-05
5188	1439719603	20	3.36542e-05
5189	1439781853	4	7.91784e-06
5190	1440024530	20	4.08842e-05
5191	1440352740	36	7.02967e-05
5192	1440360970	2	4.34099e-06
5193	1440786768	36	7.0429e-05
5194	1440860611	8	1.27227e-05
5195	1441309455	42	8.072e-05
5196	1442001105	62	0.000105586
5197	1442145954	12	2.59997e-05
5198	1442619138	66	0.000133017
5199	1442631292	0	0
5200	1442884994	28	5.15586e-05
5201	1443315044	60	0.000119197
5202	1443350814	2	3.36678e-06
5203	1443654040	64	0.000134266
5204	1444083662	52	0.000115534
5205	1444360764	44	8.02642e-05
5206	1444807213	40	6.98198e-05
5207	1445171854	138	0.000272651
5208	1445618741	56	9.67222e-05
5209	1446017100	42	8.66191e-05
5210	1446315669	38	7.86353e-05
5211	1446768534	64	0.000127691
5212	1446937436	30	4.09378e-05
5213	1447280875	34	6.05113e-05
5214	1447439145	18	3.95858e-05
5215	1447544716	4	1.12784e-05
5216	1447817900	72	0.000137699
5217	1448146571	70	0.000155068
5218	1448477514	30	5.48851e-05
5219	1448608122	16	2.96197e-05
5220	1448759676	18	4.30962e-05
5221	1449073278	46	8.69103e-05
5222	1449372379	30	5.95804e-05
5223	1449803486	62	0.000112791
5224	1449898871	6	9.89294e-06
5225	1450095584	26	5.10492e-05
5226	1450262500	6	1.56655e-05
5227	1450502422	32	5.25802e-05
5228	1450808916	34	6.8556e-05
5229	1451097472	30	5.63103e-05
5230	1451515681	38	7.68205e-05
5231	1451793908	20	4.14443e-05
5232	1452095690	18	3.04344e-05
5233	1452231236	10	2.61707e-05
5234	1452490860	20	3.62496e-05
5235	1452922787	48	9.0975e-05
5236	1453265636	32	6.56315e-05
5237	1453651861	38	5.69523e-05
5238	1453952467	24	4.86172e-05
5239	1454414031	66	0.000123817
5240	1454461496	0	0
5241	1454578158	12	2.37847e-05
5242	1454711350	14	2.42022e-05
5243	1454788430	2	6.19281e-06
5244	1455168421	26	5.08475e-05
5245	1455258608	6	1.28637e-05
5246	1455814607	64	0.000122219
5247	1455962595	6	1.30156e-05
5248	1456418013	48	0.00011314
5249	1456703638	32	5.92822e-05
5250	1456792982	12	2.1554e-05
5251	1457037601	22	4.95631e-05
5252	1457214797	12	2.51281e-05
5253	1457488622	26	4.24575e-05
5254	1457810331	22	3.88846e-05
5255	1458292211	62	0.000122188
5256	1458673360	42	8.47663e-05
5257	1459061581	42	8.53052e-05
5258	1459526637	30	5.31225e-05
5259	1459700148	12	1.96604e-05
5260	1460184028	42	6.3751e-05
5261	1460446248	30	6.77787e-05
5262	1460927102	52	9.23639e-05
5263	1461239030	36	6.54361e-05
5264	1461698525	50	8.80501e-05
5265	1462036323	22	4.34313e-05
5266	1462370457	52	9.77372e-05
5267	1462636063	20	3.35152e-05
5268	1462738571	10	1.35529e-05
5269	1463160056	54	8.62169e-05
5270	1463546245	38	7.09941e-05
5271	1463976405	54	0.000105367
5272	1464447884	60	0.000126146
5273	1464619996	20	2.82123e-05
5274	1465102511	58	0.000100062
5275	1465414760	26	3.98748e-05
5276	1465774899	102	0.000182157
5277	1465956267	30	6.30697e-05
5278	1466338235	30	5.56972e-05
5279	1466426201	0	0
5280	1466823610	30	4.92281e-05
5281	1467207851	46	8.58976e-05
5282	1467222127	0	0
5283	1467512527	42	8.38835e-05
5284	1467746809	24	4.43263e-05
5285	1467880301	20	4.02112e-05
5286	1468512436	66	0.000126196
5287	1468861987	78	0.000157487
5288	1469110733	30	6.16935e-05
5289	1469428000	64	0.000128155
5290	1469761998	110	0.000184596
5291	1470024272	32	5.99205e-05
5292	1470131967	2	3.69142e-06
5293	1470457278	46	8.3957e-05
5294	1470484508	2	4.91171e-06
5295	1470919539	32	5.89205e-05
5296	1471320643	44	7.63818e-05
5297	1471731104	62	0.000114698
5298	1471998254	26	3.95126e-05
5299	1472412197	36	6.98779e-05
5300	1472683022	42	9.04858e-05
5301	1473074937	36	7.24682e-05
5302	1473129406	0	0
5303	1473497255	30	5.28959e-05
5304	1473574795	4	6.00115e-06
5305	1473827040	38	6.47322e-05
5306	1474203354	112	0.000211364
5307	1474479494	18	2.99577e-05
5308	1474796293	36	7.2733e-05
5309	1475209929	46	7.39911e-05
5310	1475614185	34	6.63412e-05
5311	1475966821	42	6.87494e-05
5312	1476308619	38	5.97304e-05
5313	1476458001	14	1.94482e-05
5314	1476592484	10	2.5885e-05
5315	1476657353	4	1.13461e-05
5316	1477014393	38	6.41646e-05
5317	1477182903	14	3.57433e-05
5318	1477633008	36	7.27865e-05
5319	1477865485	28	5.34067e-05
5320	1478602450	90	0.000167678
5321	1478843178	44	9.10255e-05
5322	1479297387	54	0.00010041
5323	1479490705	24	3.49362e-05
5324	1479516598	2	3.75329e-06
5325	1479739916	20	3.91481e-05
5326	1480077368	38	8.27697e-05
5327	1480333747	26	5.68374e-05
5328	1480430159	12	2.84869e-05
5329	1480584586	14	3.09064e-05
5330	1480923745	38	6.81734e-05
5331	1481354632	60	0.000110316
5332	1481757273	50	9.85315e-05
5333	1482286923	68	0.000134024
5334	1482711293	54	0.000109305
5335	1482894487	12	2.81442e-05
5336	1483072518	20	4.2688e-05
5337	1483513991	44	8.56464e-05
5338	1483683497	22	4.16155e-05
5339	1483814352	14	2.47306e-05
5340	1484084193	26	4.75285e-05
5341	1484167233	10	2.21851e-05
5342	1484568244	42	7.65276e-05
5343	1484625771	0	0
5344	1485035984	38	6.79263e-05
5345	1485470934	50	0.000102958
5346	1486017915	62	0.000128618
5347	1486293727	46	8.58886e-05
5348	1486669008	54	9.42036e-05
5349	1486984193	16	2.98045e-05
5350	1487282599	26	4.79841e-05
5351	1487611220	46	7.82857e-05
5352	1488078932	74	0.000148627
5353	1488492538	38	8.37937e-05
5354	1488645156	18	3.13423e-05
5355	1488687620	2	5.00186e-06
5356	1489038688	38	7.90927e-05
5357	1489473485	52	0.000103078
5358	1489645949	16	2.06823e-05
5359	1489828953	18	3.95573e-05
5360	1489847574	2	5.201e-06
5361	1490304207	40	7.12998e-05
5362	1490724808	50	0.000112747
5363	1491220478	76	0.000151651
5364	1491422876	18	3.55227e-05
5365	1491534050	12	1.6986e-05
5366	1491695692	26	3.72006e-05
5367	1492025694	38	7.58099e-05
5368	1492138362	10	1.27386e-05
5369	1492501708	52	9.38431e-05
5370	1492878634	58	0.000103442
5371	1492893850	0	0
5372	1493092506	8	1.88666e-05
5373	1493398406	30	4.49654e-05
5374	1493914683	32	6.07124e-05
5375	1493949103	0	0
5376	1494364261	52	8.94561e-05
5377	1494494655	10	1.37562e-05
5378	1494517580	0	0
5379	1494939345	44	8.9446e-05
5380	1495279792	46	9.18221e-05
5381	1495858003	62	0.000113626
5382	1496232801	28	5.55696e-05
5383	1496611232	42	8.3152e-05
5384	1496652233	2	4.88445e-06
5385	1496861525	18	3.5448e-05
5386	1497246847	38	6.41602e-05
5387	1497509725	40	7.63244e-05
5388	1497736852	26	4.87451e-05
5389	1497904279	10	2.29532e-05
5390	1498204832	34	5.95659e-05
5391	1498596389	36	6.80893e-05
5392	1498790657	32	5.6313e-05
5393	1499202341	40	7.27678e-05
5394	1499640064	50	9.88426e-05
5395	1499946190	32	6.74195e-05
5396	1500372540	56	9.8899e-05
5397	1500669464	18	3.88627e-05
5398	1500959510	36	6.18988e-05
5399	1501237561	22	3.75506e-05
5400	1501469931	16	3.51145e-05
5401	1501630571	12	1.60976e-05
5402	1501948905	30	5.41955e-05
5403	1502344256	32	7.00741e-05
5404	1502694255	72	0.00014804
5405	1502927207	26	5.5935e-05
5406	1503390980	60	0.000120992
5407	1503524874	20	3.9183e-05
5408	1503782880	18	2.74447e-05
5409	1504190662	36	6.51775e-05
5410	1504594992	42	7.65272e-05
5411	1504992786	80	0.00013928
5412	1505027834	2	3.42274e-06
5413	1505125794	10	1.60489e-05
5414	1505515303	26	5.11576e-05
5415	1505867518	64	0.000113601
5416	1506236721	46	9.19398e-05
5417	1506281277	0	0
5418	1506388766	16	2.0944e-05
5419	1506871920	50	9.82641e-05
5420	1507290394	38	6.25973e-05
5421	1507429607	12	1.75258e-05
5422	1507750831	30	5.37695e-05
5423	1508226850	62	0.000106947
5424	1508344993	10	1.57048e-05
5425	1508743239	48	0.00011038
5426	1509086773	52	9.71394e-05
5427	1509453124	42	8.04892e-05
5428	1509580365	12	1.76299e-05
5429	1509646201	2	3.8869e-06
5430	1509782162	4	7.92545e-06
5431	1509982000	14	2.80552e-05
5432	1510004439	4	4.36614e-06
5433	1510461679	26	5.71926e-05
5434	1510796238	44	7.82694e-05
5435	1511167249	42	6.63433e-05
5436	1511213615	6	1.15819e-05
5437	1511477458	50	8.98161e-05
5438	1511867251	40	7.33859e-05
5439	1512491484	66	0.000110339
5440	1512885205	54	0.0001068
5441	1512968465	8	1.99443e-05
5442	1513093865	10	2.27552e-05
5443	1513542312	66	0.000128151
5444	1513799640	40	7.11244e-05
5445	1514003424	22	3.58884e-05
5446	1514129048	18	2.94961e-05
5447	1514614308	80	0.000145944
5448	1514840713	18	3.55579e-05
5449	1515138303	30	5.27941e-05
5450	1515361266	12	2.64552e-05
5451	1515542261	16	2.67079e-05
5452	1515626197	8	1.51814e-05
5453	1516071156	42	7.18847e-05
5454	1516542648	56	0.00010768
5455	1516960657	30	5.46437e-05
5456	1516962782	0	0
5457	1517247861	38	7.00276e-05
5458	1517386661	12	1.99935e-05
5459	1517747665	52	9.84518e-05
5460	1517956818	10	2.01689e-05
5461	1518266557	32	5.97388e-05
5462	1518820264	62	0.000107763
5463	1519039660	8	1.56176e-05
5464	1519266581	26	3.92231e-05
