wl,k
0.114114,0.7247602836622
0.115436,0.7508864850033
0.116772,0.7772043513019
0.118124,0.8037272875539
0.119492,0.830465105553
0.120876,0.8574235696924
0.122276,0.8846035325064
0.123692,0.9119997076429
0.125124,0.9395990889648
0.126573,0.9673790031552
0.128038,0.9953047734299
0.129521,1.023326972323
0.131021,1.051378253409
0.132538,1.079369778756
0.134073,1.107187306113
0.135625,1.134687074095
0.137196,1.161691732085
0.138784,1.187986710075
0.140391,1.213317613064
0.142017,1.237389444789
0.143661,1.259868687354
0.145325,1.280389429331
0.147008,1.298564753117
0.14871,1.314004340898
0.150432,1.326338611692
0.152174,1.335248586467
0.153936,1.34049915682
0.155718,1.34197178248
0.157522,1.339691369656
0.159346,1.333841802634
0.161191,1.324765778607
0.163057,1.312947232469
0.164945,1.298978116817
0.166855,1.28351455016
0.168787,1.267229295001
0.170742,1.25076761402
0.172719,1.23471194955
0.174719,1.219558323023
0.176742,1.205704760639
0.178789,1.193450095649
0.180859,1.18300045173
0.182953,1.174480498761
0.185072,1.167946925505
0.187215,1.163402197118
0.189383,1.160807329658
0.191575,1.160092984599
0.193794,1.161168611064
0.196038,1.163929642305
0.198308,1.168262911855
0.200604,1.174050527018
0.202927,1.181172453238
0.205277,1.189508046231
0.207654,1.198936735825
0.210058,1.209338026869
0.212491,1.220590944248
0.214951,1.2325730142
0.21744,1.2451588439
0.219958,1.258218336173
0.222505,1.271614555975
0.225082,1.285201250017
0.227688,1.298820010603
0.230324,1.312297070297
0.232991,1.325439716556
0.235689,1.33803232748
0.238418,1.349832054673
0.241179,1.360564221932
0.243972,1.369917575536
0.246797,1.377539621485
0.249655,1.383032426206
0.252546,1.385949448484
0.25547,1.385794216359
0.258428,1.382021958331
0.261421,1.374045618945
0.264448,1.361247978395
0.26751,1.343001750429
0.270608,1.318699391964
0.273741,1.287793709855
0.276911,1.249848975784
0.280117,1.204600030528
0.283361,1.152013891623
0.286642,1.092345207445
0.289961,1.026174544998
0.293319,0.9544182761738
0.296715,0.8783018236441
0.300151,0.7992943591502
0.303627,0.7190113515244
0.307142,0.6390990217795
0.310699,0.5611189901965
0.314297,0.4864506411256
0.317936,0.4162234725802
0.321618,0.3512841278244
0.325342,0.2921956063422
0.329109,0.2392612635923
0.33292,0.1925642660254
0.336775,0.1520136862429
0.340675,0.1173903874676
0.34462,0.08838825994487
0.34861,0.06464855237383
0.352647,0.04578666694492
0.35673,0.03141179465523
0.360861,0.02113599074506
0.36504,0.01423986558663
0.369266,0.009631552376223
0.373542,0.006540275904729
0.377868,0.004458843513328
0.382243,0.003052061701185
0.386669,0.002097610273136
0.391147,0.001447530617612
0.395676,0.001003017888074
0.400258,0.000697862580811
0.404893,0.0004875399844809
0.409581,0.0003419994853501
0.414324,0.0002408845204222
0.419121,0.0001703538312187
0.423975,0.0001209606815477
0.428884,8.623315769754e-05
0.43385,6.172050793547e-05
0.438874,4.435028197215e-05
0.443956,3.199343333767e-05
0.449097,2.316904907067e-05
0.454297,1.684315122651e-05
0.459558,1.229110049511e-05
0.464879,9.003153570303e-06
0.470262,6.61940431925e-06
0.475707,4.88480399388e-06
0.481216,3.617951114498e-06
0.486788,2.689357833174e-06
0.492425,2.00626127802e-06
0.498127,1.5019711886e-06
0.503895,1.128372675896e-06
0.50973,8.506311269264e-07
0.515632,6.434394442359e-07
