0.00788315,0.000545312
0.0235824,0.001638
0.0392817,0.00269728
0.0549809,0.00377899
0.0706802,0.00482047
0.0863795,0.00587651
0.102079,0.00689138
0.117778,0.00791026
0.133477,0.00890454
0.149177,0.00985253
0.164876,0.0107484
0.180575,0.0116276
0.196274,0.0124294
0.211974,0.0132524
0.227673,0.0140493
0.243372,0.014787
0.259071,0.0154142
0.274771,0.0160696
0.29047,0.0165915
0.306169,0.0171735
0.321868,0.0176334
0.337568,0.0180255
0.353267,0.0184179
0.368966,0.0187594
0.384665,0.0190759
0.400365,0.0192088
0.416064,0.0193638
0.431763,0.019525
0.447463,0.0196573
0.463162,0.0196827
0.478861,0.0197208
0.49456,0.0196472
0.51026,0.0195862
0.525959,0.0194881
0.541658,0.0192911
0.557357,0.0191403
0.573057,0.0188773
0.588756,0.0186501
0.604455,0.0183898
0.620154,0.0180922
0.635854,0.0177835
0.651553,0.0174422
0.667252,0.0171325
0.682952,0.0167394
0.698651,0.016359
0.71435,0.015974
0.730049,0.0154638
0.745749,0.0151208
0.761448,0.0146504
0.777147,0.0141933
0.792846,0.0137759
0.808546,0.0133817
0.824245,0.0129255
0.839944,0.0124318
0.855643,0.0119895
0.871343,0.0116035
0.887042,0.0111752
0.902741,0.0107376
0.91844,0.0103002
0.93414,0.00987406
0.949839,0.00942543
0.965538,0.0090657
0.981238,0.00867504
0.996937,0.00822512
1.01264,0.00783373
1.02834,0.00743816
1.04403,0.00708428
1.05973,0.00670977
1.07543,0.00634719
1.09113,0.00600347
1.10683,0.00566187
1.12253,0.00535545
1.13823,0.00504851
1.15393,0.00474842
1.16963,0.00442275
1.18533,0.00415763
1.20103,0.00392162
1.21673,0.00364031
1.23243,0.00338953
1.24813,0.00314608
1.26382,0.0029037
1.27952,0.00269814
1.29522,0.00246515
1.31092,0.00227768
1.32662,0.00207341
1.34232,0.00188676
1.35802,0.00169709
1.37372,0.00152586
1.38942,0.0013787
1.40512,0.00120777
1.42082,0.00107099
1.43652,0.00093623
1.45222,0.000807977
1.46791,0.000673479
1.48361,0.000556897
1.49931,0.000437344
1.51501,0.000338333
1.53071,0.000237341
1.54641,0.000135015
1.56211,4.72443e-05
