-3.11018,0.0101026
-3.04734,0.0101354
-2.98451,0.0100744
-2.92168,0.0102185
-2.85885,0.0102634
-2.79602,0.010251
-2.73319,0.0103339
-2.67035,0.0102829
-2.60752,0.01029
-2.54469,0.0102495
-2.48186,0.0103255
-2.41903,0.0103796
-2.35619,0.0103339
-2.29336,0.0104634
-2.23053,0.0104727
-2.1677,0.0104449
-2.10487,0.010495
-2.04203,0.0104569
-1.9792,0.0104783
-1.91637,0.0103422
-1.85354,0.0104573
-1.79071,0.0105414
-1.72788,0.0104328
-1.66504,0.0105005
-1.60221,0.0105141
-1.53938,0.0104498
-1.47655,0.0104341
-1.41372,0.0105485
-1.35088,0.0104257
-1.28805,0.0104183
-1.22522,0.0105015
-1.16239,0.0104653
-1.09956,0.0104715
-1.03673,0.0105135
-0.973894,0.0104096
-0.911062,0.0104443
-0.84823,0.0103224
-0.785398,0.0103679
-0.722566,0.0104174
-0.659734,0.0102856
-0.596903,0.0103051
-0.534071,0.0102479
-0.471239,0.0103045
-0.408407,0.010349
-0.345575,0.0102492
-0.282743,0.0102232
-0.219912,0.0101762
-0.15708,0.0100865
-0.0942479,0.0099922
-0.0314161,0.0100933
0.0314158,0.0100868
0.0942476,0.00997272
0.157079,0.00995478
0.219911,0.00988459
0.282743,0.00975689
0.345575,0.00995911
0.408407,0.00990593
0.471239,0.00983079
0.53407,0.00972164
0.596902,0.00967989
0.659734,0.0096901
0.722566,0.00962455
0.785398,0.00968453
0.84823,0.0096431
0.911062,0.00960383
0.973893,0.00959301
1.03673,0.00958404
1.09956,0.0095457
1.16239,0.00950272
1.22522,0.00949344
1.28805,0.00952776
1.35088,0.00937656
1.41372,0.00940748
1.47655,0.00943716
1.53938,0.00937037
1.60221,0.00933172
1.66504,0.00940006
1.72788,0.00944551
1.79071,0.00933389
1.85354,0.00948849
1.91637,0.00944087
1.9792,0.00932306
2.04203,0.00953858
2.10487,0.00943531
2.1677,0.00942325
2.23053,0.00950457
2.29336,0.00960568
2.35619,0.00964866
2.41903,0.0096802
2.48186,0.0096598
2.54469,0.0097068
2.60752,0.00976184
2.67035,0.00974483
2.73318,0.00972071
2.79602,0.00982368
2.85885,0.009858
2.92168,0.00994644
2.98451,0.00987068
3.04734,0.0100593
3.11018,0.010068
