EventID	nPhotons	Hits	DepositedEnergy
6132	1692230102	26	4.8149e-05
6133	1692684275	54	0.000108556
6134	1693041700	22	4.72189e-05
6135	1693226505	18	3.90735e-05
6136	1693682036	62	0.000132986
6137	1693977636	30	5.86804e-05
6138	1694214176	54	9.13823e-05
6139	1694339885	10	1.36561e-05
6140	1694532364	14	2.76604e-05
6141	1694882138	42	7.2484e-05
6142	1695122572	30	6.61409e-05
6143	1695157854	0	0
6144	1695411444	24	4.66516e-05
6145	1695654817	30	5.30144e-05
6146	1696201837	88	0.000153212
6147	1696399217	30	5.79586e-05
6148	1696723400	34	6.95892e-05
6149	1697048276	30	5.50604e-05
6150	1697243926	14	2.55657e-05
6151	1697515575	32	5.935e-05
6152	1697762876	32	6.03495e-05
6153	1698054166	72	0.000120299
6154	1698312118	94	0.000185642
6155	1698729022	48	8.27934e-05
6156	1698820199	4	5.80216e-06
6157	1699209278	58	0.000100504
6158	1699453028	32	5.71052e-05
6159	1699745550	30	5.09978e-05
6160	1700059373	48	8.23714e-05
6161	1700436980	38	8.35548e-05
6162	1700775709	38	6.79013e-05
6163	1701073170	26	4.1135e-05
6164	1701527200	70	0.000127315
6165	1701939711	74	0.000133001
6166	1702770205	72	0.000141108
6167	1703229389	54	9.68603e-05
6168	1703324068	4	7.83892e-06
6169	1703554677	24	4.15229e-05
6170	1703593118	1002	0.00132153
6171	1703715252	0	0
6172	1704182950	48	9.68048e-05
6173	1704204934	0	0
6174	1704382405	20	3.57556e-05
6175	1704871689	42	7.29296e-05
6176	1705219038	40	6.74837e-05
6177	1705618328	46	8.74138e-05
6178	1705750698	20	3.22593e-05
6179	1706262761	44	7.79129e-05
6180	1706494018	38	7.39434e-05
6181	1706885529	58	0.000100392
6182	1707314243	48	9.08571e-05
6183	1707570816	20	4.23129e-05
6184	1707831099	26	5.63172e-05
6185	1708180215	30	4.89996e-05
6186	1708397831	32	6.7114e-05
6187	1708692878	40	7.01834e-05
6188	1708696990	0	0
6189	1708926592	10	1.80019e-05
6190	1708981252	2	4.02461e-06
6191	1709168805	20	4.17244e-05
6192	1709555481	46	8.65672e-05
6193	1709948831	52	9.61261e-05
6194	1710274836	32	5.44927e-05
6195	1710654102	40	7.54374e-05
6196	1710897484	22	4.4562e-05
6197	1711098267	24	4.07699e-05
6198	1711339494	14	2.36118e-05
6199	1711775253	40	7.93236e-05
6200	1712162320	44	7.5973e-05
6201	1712423865	36	7.42661e-05
6202	1712790841	48	8.6398e-05
6203	1713218390	44	8.68464e-05
6204	1713352479	8	1.50474e-05
6205	1713588987	22	3.93958e-05
6206	1713898045	22	4.83111e-05
6207	1714287919	22	4.15878e-05
6208	1714531986	18	3.15597e-05
6209	1714968253	56	0.000112331
6210	1715292847	152	0.00027131
6211	1715769057	34	6.42701e-05
6212	1715801030	0	0
6213	1715954974	12	2.33487e-05
6214	1716232852	20	3.43754e-05
6215	1716487994	32	7.36069e-05
6216	1716913169	42	7.04887e-05
6217	1717482324	70	0.000127803
6218	1717865785	66	9.9924e-05
6219	1718291168	46	7.97911e-05
6220	1718804498	56	0.000102112
6221	1719023960	26	5.29177e-05
6222	1719328288	50	9.65997e-05
6223	1719604512	28	6.25887e-05
6224	1719783855	18	3.45969e-05
6225	1720211483	104	0.000192423
6226	1720524906	32	7.15739e-05
6227	1720909193	52	0.000108868
6228	1721155755	30	5.86604e-05
6229	1721410658	36	6.70802e-05
6230	1721507892	8	1.79412e-05
6231	1721915633	44	8.90234e-05
6232	1722381576	38	8.6591e-05
6233	1722507506	16	2.07709e-05
6234	1722737865	36	6.29006e-05
6235	1722816420	10	1.60508e-05
6236	1723167678	38	7.33182e-05
6237	1723183976	0	0
6238	1723443147	24	4.25203e-05
6239	1723847161	570	0.0008916
6240	1723857998	0	0
6241	1724126722	34	7.4638e-05
6242	1724481774	50	9.19706e-05
6243	1724847255	30	5.29686e-05
6244	1725268783	32	5.28163e-05
6245	1725375706	10	1.42639e-05
6246	1725404250	1002	0.00285548
6247	1725546680	8	1.70887e-05
6248	1725623961	4	7.03859e-06
6249	1726032493	54	9.60995e-05
6250	1726205434	22	4.24063e-05
6251	1726526804	26	5.9716e-05
6252	1726920908	40	7.39896e-05
6253	1727182306	14	2.35243e-05
6254	1727337576	24	5.00711e-05
6255	1727474284	4	7.67449e-06
6256	1727906664	48	8.60836e-05
6257	1727913709	0	0
6258	1728351816	82	0.00014315
6259	1728667706	30	5.56005e-05
6260	1729050911	52	0.000108189
6261	1729434085	34	8.13023e-05
6262	1729639179	24	4.19217e-05
6263	1729764797	16	3.20337e-05
6264	1730205136	58	0.000126076
6265	1730581947	42	7.61117e-05
6266	1730611713	2	2.78565e-06
6267	1731089523	54	9.49852e-05
6268	1731483039	46	7.81861e-05
6269	1731865913	86	0.000138203
6270	1732291342	72	0.000129486
6271	1732699026	52	9.52182e-05
6272	1733038179	18	4.01669e-05
6273	1733165766	6	1.3507e-05
6274	1733295024	10	1.43613e-05
6275	1733405116	2	3.97333e-06
6276	1733504800	14	2.17483e-05
6277	1733750376	18	3.88005e-05
6278	1733964651	16	2.65457e-05
6279	1734330493	44	9.55211e-05
6280	1734611464	26	4.69083e-05
6281	1735045951	54	0.000107253
6282	1735249222	16	3.05341e-05
6283	1735621867	28	5.54035e-05
6284	1735749167	12	2.28977e-05
6285	1735797582	4	1.00189e-05
6286	1736414286	122	0.000246716
6287	1736785911	38	6.8201e-05
6288	1737387394	68	0.000125208
6289	1738074382	88	0.000159219
6290	1738193863	8	1.54044e-05
6291	1738726072	68	0.00014017
6292	1738752477	2	6.05944e-06
6293	1739207918	64	0.000115091
6294	1739781038	56	0.000107738
6295	1740063730	24	4.42267e-05
6296	1740305666	26	4.7977e-05
6297	1740621297	58	0.000109551
6298	1740826547	34	6.61972e-05
6299	1740997854	12	2.50117e-05
6300	1741431034	42	7.45382e-05
6301	1741457296	2	4.95481e-06
6302	1741629930	12	2.04024e-05
6303	1742024662	46	8.85977e-05
6304	1742399881	52	0.000103753
6305	1742736521	32	5.91534e-05
6306	1743192138	56	9.7274e-05
6307	1743634529	58	0.000112577
6308	1743764076	4	6.81277e-06
6309	1743999624	36	8.30767e-05
6310	1744366150	44	8.03184e-05
6311	1744747675	34	5.73197e-05
6312	1744918676	24	4.39658e-05
6313	1745221918	68	0.000134663
6314	1745612614	52	9.70629e-05
6315	1745821463	30	4.33677e-05
6316	1746090003	34	6.46923e-05
6317	1746356502	36	7.54062e-05
6318	1746382793	1002	0.000927528
6319	1746767665	32	5.58042e-05
6320	1746905462	24	4.54533e-05
6321	1747226643	30	6.557e-05
6322	1747464186	20	3.50678e-05
6323	1747713426	22	4.40929e-05
6324	1748232937	42	7.79312e-05
6325	1748607109	42	7.73296e-05
6326	1749071453	102	0.000196068
6327	1749382574	30	5.595e-05
6328	1749609417	14	2.48308e-05
6329	1749957317	38	5.62178e-05
6330	1750239024	18	3.40655e-05
6331	1750644318	52	9.50454e-05
6332	1751149665	178	0.000289739
6333	1751376453	30	4.71609e-05
6334	1751526903	14	2.60821e-05
6335	1751912436	16	3.17384e-05
6336	1752238892	26	4.84496e-05
6337	1752995716	80	0.000144554
6338	1753486472	44	8.11806e-05
6339	1753730566	28	4.83728e-05
6340	1754233428	64	0.000115974
6341	1754431458	18	4.03637e-05
6342	1754634653	18	3.27205e-05
6343	1754743251	10	2.0388e-05
6344	1754920889	30	4.00958e-05
6345	1755172630	36	5.78859e-05
6346	1755431641	24	4.40728e-05
6347	1755669261	16	2.39441e-05
6348	1756044975	28	6.29274e-05
