EventID	nPhotons	Hits	DepositedEnergy
0	38334	0	0
1	412034	30	5.86181e-05
2	562356	4	5.09703e-06
3	690196	8	1.67047e-05
4	1006413	42	6.7988e-05
5	1304869	30	5.35039e-05
6	1445421	16	2.94555e-05
7	1448473	0	0
8	1597941	8	1.30553e-05
9	1725486	6	6.71582e-06
10	1854263	10	1.63474e-05
11	2168063	32	5.38958e-05
12	2519517	58	0.000107986
13	2902735	42	9.01024e-05
14	2930855	1002	0.00122114
15	3197982	36	6.55628e-05
16	3464390	22	4.53535e-05
17	3866131	38	8.27927e-05
18	4133790	22	3.91081e-05
19	4605471	66	0.000130992
20	4631760	1002	0.00158041
21	4715009	6	1.61339e-05
22	5359241	90	0.000147958
23	5383589	1002	0.00136562
24	5610413	28	5.77706e-05
25	5715392	10	1.58894e-05
26	5883669	22	4.49351e-05
27	6088702	18	3.06659e-05
28	6496521	718	0.00118315
29	7031876	106	0.000223737
30	7486344	56	0.000100329
31	7731314	34	5.53192e-05
32	8164386	46	9.33984e-05
33	8165862	4	4.84096e-06
34	8220105	4	9.03525e-06
35	8535370	46	8.61986e-05
36	8540389	0	0
37	8886178	40	7.83189e-05
38	9409831	58	0.000121389
39	9630772	22	4.52812e-05
40	10010115	28	5.2308e-05
41	10296980	38	6.07573e-05
42	10485995	14	2.82553e-05
43	10759969	34	7.85116e-05
44	10947533	14	2.0884e-05
45	11149461	20	3.80705e-05
46	11559118	94	0.000167407
47	11903686	54	0.000102296
48	12276059	64	0.000109787
49	12500176	36	5.43836e-05
50	12878100	34	5.90537e-05
51	12903309	0	0
52	12992794	20	3.65954e-05
53	13101368	8	1.83094e-05
54	13508128	48	8.07801e-05
55	13950052	30	5.58056e-05
56	14198052	14	3.67054e-05
57	14466952	28	4.85715e-05
58	14680890	32	5.21469e-05
59	14962659	30	5.1176e-05
60	15086957	16	2.43879e-05
61	15480188	62	0.000120742
62	15854610	30	6.30984e-05
63	16137469	86	0.000158369
64	16382160	26	4.80741e-05
65	16599110	16	2.63295e-05
66	16881530	26	4.87614e-05
67	17300977	570	0.00100558
68	17670638	32	5.29752e-05
69	18111029	94	0.000193364
70	18415598	42	8.62149e-05
71	18907544	60	0.000117463
72	19168174	30	5.96793e-05
73	19299733	10	1.3832e-05
74	19672748	26	4.9836e-05
75	20066839	32	4.63438e-05
76	20369494	48	8.30835e-05
77	20757356	32	7.21273e-05
78	20794690	6	1.53523e-05
79	21259687	62	0.000124818
80	21376655	14	2.60944e-05
81	21377955	0	0
82	21621824	18	2.84525e-05
83	22085500	54	9.54101e-05
84	22140993	2	5.32158e-06
85	22555596	54	0.00011142
86	22651654	8	1.36671e-05
87	22886091	28	4.86151e-05
88	23296347	52	8.11641e-05
89	23518843	12	2.68394e-05
90	23612647	6	1.27207e-05
91	23861896	36	6.33882e-05
92	24201889	36	6.50952e-05
93	24636570	30	5.61647e-05
94	24731626	8	1.64112e-05
95	25167532	46	9.52575e-05
96	25204287	2	4.83269e-06
97	25444541	22	3.79723e-05
98	25484829	1002	0.00181833
99	25871059	62	0.000112515
100	26051652	6	1.22213e-05
101	26440003	36	7.864e-05
102	26697156	16	2.98925e-05
103	26787385	4	7.94847e-06
104	27083247	26	5.02876e-05
105	27639617	68	0.000128728
106	27711350	2	5.82387e-06
107	27904739	18	3.18068e-05
108	28086607	20	3.35284e-05
109	28137260	8	1.21437e-05
110	28520386	56	0.000110969
111	28931539	104	0.000181066
112	29322935	44	9.12349e-05
113	29417976	12	2.43726e-05
114	29463550	6	1.28415e-05
115	29647828	18	2.99565e-05
116	30045032	42	8.4975e-05
117	30594441	82	0.00015567
118	30942585	44	8.83022e-05
119	31260415	34	6.4507e-05
120	31525188	36	4.71679e-05
121	31861852	60	0.000117715
122	32188391	976	0.00178061
123	32573190	226	0.000397574
124	32774320	24	3.68525e-05
125	33133389	68	0.000122352
126	33168328	0	0
127	33191622	1002	0.00173987
128	33457983	22	3.94543e-05
129	33695954	16	3.15321e-05
130	34112866	52	9.57529e-05
131	34630836	80	0.000149985
132	35040519	54	0.000105211
133	35268931	28	3.93323e-05
134	35635646	34	6.72137e-05
135	35930899	36	7.28092e-05
136	36341319	42	7.47934e-05
137	36462330	12	2.67625e-05
138	36717725	22	3.23353e-05
139	37128739	72	0.000131418
140	37207709	0	0
141	37413442	38	6.68757e-05
142	37756884	40	6.8353e-05
143	37896313	14	3.00044e-05
144	38165059	16	2.65326e-05
145	38423740	32	5.06359e-05
146	38862818	56	0.000110464
147	39259253	664	0.00108701
148	39661534	36	6.35027e-05
149	40023692	30	5.36242e-05
150	40197024	20	4.2191e-05
151	40246965	0	0
152	40375810	4	9.02841e-06
153	40812123	62	0.000115718
154	41112974	42	7.24937e-05
155	41518472	42	7.91947e-05
156	41795550	36	5.96837e-05
157	42156936	70	0.000130305
